accuracy,accuracy_folds,accuracy_std,dataset,f1_macro,f1_macro_folds,f1_macro_std,feature,model,n_labels,n_samples,train_time_s
0.9942,"0.9950,0.9940,0.9940,0.9940,0.9940",0.0004,pgb,0.3324,"0.3325,0.3323,0.3323,0.3323,0.3323",0.0001,node2vec,Node2Vec+knn,3,5000,0.16
0.9942,"0.9950,0.9940,0.9940,0.9940,0.9940",0.0004,pgb,0.3324,"0.3325,0.3323,0.3323,0.3323,0.3323",0.0001,node2vec,Node2Vec+svm,3,5000,0.68
0.9942,"0.9950,0.9940,0.9940,0.9940,0.9940",0.0004,pgb,0.3324,"0.3325,0.3323,0.3323,0.3323,0.3323",0.0001,node2vec,Node2Vec+lr,3,5000,2.45
0.9942,"0.9950,0.9940,0.9940,0.9940,0.9940",0.0004,pgb,0.3324,"0.3325,0.3323,0.3323,0.3323,0.3323",0.0001,node2vec,Node2Vec+rf,3,5000,2.04
0.9936,"0.9940,0.9940,0.9940,0.9930,0.9930",0.0005,pgb,0.3323,"0.3323,0.3323,0.3323,0.3322,0.3322",0.0001,node2vec,Node2Vec+ada,3,5000,3.26
0.9942,"0.9950,0.9940,0.9940,0.9940,0.9940",0.0004,pgb,0.3324,"0.3325,0.3323,0.3323,0.3323,0.3323",0.0001,node2vec,Node2Vec+xgb,3,5000,1.1
0.994,"0.9950,0.9930,0.9940,0.9940,0.9940",0.0006,pgb,0.3546,"0.3327,0.3322,0.4436,0.3323,0.3323",0.0445,tfidf+graph,GCN,3,5000,84.98
0.9938,"0.9950,0.9940,0.9940,0.9930,0.9930",0.0007,pgb,0.3323,"0.3325,0.3323,0.3323,0.3322,0.3322",0.0001,tfidf+graph,GraphSAGE,3,5000,71.72
