dataset,f1_macro,f1_macro_folds,f1_macro_std,f1_micro,f1_micro_folds,f1_micro_std,f1_samples,f1_samples_folds,f1_samples_std,feature,model,n_labels,n_samples,strategy,train_time_s
ohsumed,0.0077,"0.0076,0.0082,0.0073,0.0074,0.0077",0.0003,0.3628,"0.3608,0.3654,0.3615,0.3642,0.3623",0.0017,0.3612,"0.3585,0.3619,0.3607,0.3642,0.3609",0.0018,tfidf,lr,1650,10000,br,180.53
ohsumed,0.0048,"0.0051,0.0049,0.0045,0.0045,0.0052",0.0003,0.3126,"0.3123,0.3113,0.3126,0.3109,0.3157",0.0017,0.3186,"0.3174,0.3153,0.3210,0.3184,0.3211",0.0022,tfidf,lr,1650,10000,cc,318.86
ohsumed,0.0077,"0.0076,0.0082,0.0073,0.0074,0.0077",0.0003,0.3628,"0.3608,0.3654,0.3615,0.3642,0.3623",0.0017,0.3612,"0.3585,0.3619,0.3607,0.3642,0.3609",0.0018,tfidf,lr,1650,10000,lp,134.76
pubmed_multilabel,0.5686,"0.5721,0.5576,0.5779,0.5639,0.5714",0.007,0.821,"0.8229,0.8209,0.8225,0.8182,0.8208",0.0017,0.8113,"0.8132,0.8105,0.8136,0.8082,0.8112",0.0019,tfidf,lr,16,10000,br,3.4
pubmed_multilabel,0.5796,"0.5872,0.5675,0.5895,0.5750,0.5788",0.0081,0.8204,"0.8229,0.8210,0.8202,0.8181,0.8196",0.0016,0.8106,"0.8133,0.8104,0.8108,0.8085,0.8099",0.0015,tfidf,lr,16,10000,cc,8.97
pubmed_multilabel,0.5686,"0.5721,0.5576,0.5779,0.5639,0.5714",0.007,0.821,"0.8229,0.8209,0.8225,0.8182,0.8208",0.0017,0.8113,"0.8132,0.8105,0.8136,0.8082,0.8112",0.0019,tfidf,lr,16,10000,lp,3.42
