dataset,f1_macro,f1_macro_folds,f1_macro_std,f1_micro,f1_micro_folds,f1_micro_std,f1_samples,f1_samples_folds,f1_samples_std,feature,model,n_labels,n_samples,train_time_s
ohsumed,0.0246,"0.0247,0.0244,0.0252,0.0241,0.0247",0.0004,0.0362,"0.0366,0.0362,0.0364,0.0360,0.0360",0.0002,0.0421,"0.0421,0.0415,0.0436,0.0416,0.0418",0.0008,lda,NaiveBayes,1650,10000,18.25
ohsumed,0.0067,"0.0059,0.0083,0.0063,0.0064,0.0066",0.0008,0.3005,"0.3041,0.3022,0.2999,0.3022,0.2943",0.0034,0.3041,"0.3049,0.3060,0.3050,0.3061,0.2985",0.0028,lda,k-NN,1650,10000,447.81
ohsumed,0.0023,"0.0023,0.0023,0.0023,0.0023,0.0023",0.0,0.2917,"0.2950,0.2912,0.2917,0.2916,0.2892",0.0019,0.3014,"0.3020,0.2989,0.3039,0.3025,0.2996",0.0019,lda,SVM,1650,10000,1011.49
ohsumed,0.0024,"0.0025,0.0025,0.0025,0.0024,0.0023",0.0001,0.2855,"0.2874,0.2854,0.2854,0.2862,0.2833",0.0013,0.2952,"0.2961,0.2931,0.2974,0.2961,0.2933",0.0017,lda,LogisticReg,1650,10000,27.93
ohsumed,0.0079,"0.0087,0.0084,0.0084,0.0073,0.0068",0.0007,0.3209,"0.3263,0.3206,0.3213,0.3211,0.3151",0.0035,0.3219,"0.3258,0.3225,0.3224,0.3219,0.3171",0.0028,lda,RandomForest,1650,10000,2625.73
ohsumed,0.0117,"0.0101,0.0140,0.0121,0.0109,0.0115",0.0013,0.3186,"0.3237,0.3123,0.3179,0.3217,0.3172",0.0039,0.3221,"0.3264,0.3158,0.3238,0.3248,0.3195",0.0039,lda,AdaBoost,1650,10000,1896.7
ohsumed,0.0202,"0.0197,0.0211,0.0194,0.0200,0.0209",0.0007,0.3262,"0.3305,0.3256,0.3254,0.3271,0.3224",0.0026,0.3253,"0.3290,0.3238,0.3250,0.3279,0.3209",0.0029,lda,XGBoost,1650,10000,309.81
