dataset,f1_macro,f1_macro_folds,f1_macro_std,f1_micro,f1_micro_folds,f1_micro_std,f1_samples,f1_samples_folds,f1_samples_std,feature,model,n_labels,n_samples,train_time_s
pubmed_multilabel,0.6203,"0.6257,0.6168,0.6183,0.6185,0.6220",0.0032,0.7563,"0.7613,0.7596,0.7529,0.7545,0.7532",0.0035,0.7446,"0.7497,0.7482,0.7405,0.7408,0.7437",0.0038,biobert,NaiveBayes,16,10000,4.3
pubmed_multilabel,0.6303,"0.6261,0.6252,0.6367,0.6319,0.6315",0.0042,0.8181,"0.8184,0.8201,0.8197,0.8157,0.8168",0.0017,0.8102,"0.8102,0.8107,0.8129,0.8078,0.8097",0.0016,biobert,k-NN,16,10000,17.73
pubmed_multilabel,0.59,"0.5939,0.5876,0.5911,0.5862,0.5910",0.0028,0.8345,"0.8358,0.8374,0.8349,0.8315,0.8329",0.0021,0.8263,"0.8278,0.8274,0.8279,0.8236,0.8249",0.0017,biobert,SVM,16,10000,2263.24
pubmed_multilabel,0.671,"0.6647,0.6695,0.6781,0.6690,0.6740",0.0046,0.844,"0.8454,0.8466,0.8437,0.8403,0.8441",0.0021,0.8358,"0.8371,0.8367,0.8363,0.8331,0.8361",0.0014,biobert,LogisticReg,16,10000,33.99
pubmed_multilabel,0.5595,"0.5640,0.5529,0.5702,0.5485,0.5619",0.0078,0.8188,"0.8192,0.8208,0.8206,0.8152,0.8185",0.002,0.8104,"0.8105,0.8114,0.8135,0.8075,0.8093",0.002,biobert,RandomForest,16,10000,719.72
pubmed_multilabel,0.6292,"0.6296,0.6236,0.6400,0.6245,0.6282",0.0059,0.816,"0.8179,0.8181,0.8163,0.8120,0.8156",0.0022,0.8073,"0.8089,0.8084,0.8084,0.8038,0.8070",0.0019,biobert,AdaBoost,16,10000,1113.98
pubmed_multilabel,0.6431,"0.6388,0.6361,0.6494,0.6394,0.6518",0.0063,0.8352,"0.8359,0.8386,0.8356,0.8308,0.8349",0.0025,0.8268,"0.8275,0.8286,0.8280,0.8231,0.8267",0.0019,biobert,XGBoost,16,10000,575.22
