accuracy,accuracy_folds,accuracy_std,dataset,f1_macro,f1_macro_folds,f1_macro_std,feature,model,n_labels,n_samples,train_time_s
0.9646,"0.9680,0.9700,0.9740,0.9550,0.9560",0.0077,pgb,0.3518,"0.3279,0.3586,0.4030,0.3257,0.3438",0.0282,tfidf,NaiveBayes,3,5000,3.06
0.9942,"0.9950,0.9940,0.9930,0.9930,0.9960",0.0012,pgb,0.3324,"0.3325,0.3323,0.3322,0.3322,0.3327",0.0002,tfidf,RandomForest,3,5000,11.51
0.9938,"0.9940,0.9940,0.9920,0.9930,0.9960",0.0013,pgb,0.4215,"0.3325,0.3325,0.4155,0.5609,0.4660",0.0864,tfidf,AdaBoost,3,5000,60.8
0.9948,"0.9960,0.9940,0.9920,0.9960,0.9960",0.0016,pgb,0.4548,"0.5551,0.3325,0.3320,0.7216,0.3328",0.1588,tfidf,XGBoost,3,5000,78.22
0.9942,"0.9950,0.9940,0.9930,0.9930,0.9960",0.0012,pgb,0.3324,"0.3325,0.3323,0.3322,0.3322,0.3327",0.0002,tfidf,k-NN,3,5000,3.79
0.9942,"0.9950,0.9940,0.9930,0.9930,0.9960",0.0012,pgb,0.3324,"0.3325,0.3323,0.3322,0.3322,0.3327",0.0002,tfidf,SVM,3,5000,133.39
0.9942,"0.9950,0.9940,0.9930,0.9930,0.9960",0.0012,pgb,0.3324,"0.3325,0.3323,0.3322,0.3322,0.3327",0.0002,tfidf,LogisticReg,3,5000,1.96
